user_pseudo_id,item_id,item_name,price_in_usd,price,quantity,item_revenue_in_usd,item_revenue,event_date,event_timestamp,country,region,mobile_brand_name,mobile_model_name
39882887.2837298291,9188311,Android Lumberjack Pin,4,4,1,4,4,20201121,1605935798955517,Taiwan,Taoyuan City,Google,Chrome
39882887.2837298291,9195031,Google Thermal Tumbler Navy,14,14,1,14,14,20201121,1605935798915464,Taiwan,Taoyuan City,Google,Chrome
39882887.2837298291,9188314,Android Hipster Pin,4,4,1,4,4,20201121,1605935798915464,Taiwan,Taoyuan City,Google,Chrome
39882887.2837298291,9188311,Android Lumberjack Pin,4,4,1,4,4,20201121,1605935798915464,Taiwan,Taoyuan City,Google,Chrome
80312544.1441597452,9200199,Google Bear Baby Blanket Beige,19,19,1,19,19,20201121,1605932626292909,United States,New Jersey,Google,ChromeBook
80312544.1441597452,9196455,Google Beekeepers Onesie Pink,14,14,1,14,14,20201121,1605932626292909,United States,New Jersey,Google,ChromeBook
80312544.1441597452,9196434,Stan and Friends Onesie Green,14,14,1,14,14,20201121,1605932626292909,United States,New Jersey,Google,ChromeBook
80312544.1441597452,9196434,Stan and Friends Onesie Green,14,14,1,14,14,20201121,1605932626268714,United States,New Jersey,Google,ChromeBook
80312544.1441597452,9200199,Google Bear Baby Blanket Beige,19,19,1,19,19,20201121,1605932626268714,United States,New Jersey,Google,ChromeBook
80312544.1441597452,9196455,Google Beekeepers Onesie Pink,14,14,1,14,14,20201121,1605932626268714,United States,New Jersey,Google,ChromeBook
24178523.2626897351,9195926,Google Red Kids Sunglasses,4,4,1,4,4,20201121,1605955890247564,United States,Michigan,Google,Chrome
24178523.2626897351,9197370,Google Infant Hero Tee Olive,14,14,1,14,14,20201121,1605955890247564,United States,Michigan,Google,Chrome
24178523.2626897351,9180823,Google Mini Kick Ball,2,2,1,2,2,20201121,1605955890247564,United States,Michigan,Google,Chrome
24178523.2626897351,9196681,Google Toddler Hero Tee Olive,19,19,1,19,19,20201121,1605955890247564,United States,Michigan,Google,Chrome
24178523.2626897351,9195926,Google Red Kids Sunglasses,4,4,1,4,4,20201121,1605955890277183,United States,Michigan,Google,Chrome
24178523.2626897351,9196681,Google Toddler Hero Tee Olive,19,19,1,19,19,20201121,1605955890277183,United States,Michigan,Google,Chrome
24178523.2626897351,9197370,Google Infant Hero Tee Olive,14,14,1,14,14,20201121,1605955890277183,United States,Michigan,Google,Chrome
24178523.2626897351,9180823,Google Mini Kick Ball,2,2,1,2,2,20201121,1605955890277183,United States,Michigan,Google,Chrome
70274582.7964868916,9190330,Google Crew Socks,13,13,1,13,13,20201121,1605997855821702,United States,North Carolina,Apple,Safari
70274582.7964868916,9199131,Super G Unisex Joggers,30,30,1,30,30,20201121,1605997855821702,United States,North Carolina,Apple,Safari
70274582.7964868916,9196754,Google Men's Puff Jacket Black,92,92,1,92,92,20201121,1605997855821702,United States,North Carolina,Apple,Safari
70274582.7964868916,9197949,Google Sunnyvale Campus Tote,6,6,1,6,6,20201121,1605997855821702,United States,North Carolina,Apple,Safari
70274582.7964868916,9185158,Google Crewneck Sweatshirt Grey,44,44,1,44,44,20201121,1605997855821702,United States,North Carolina,Apple,Safari
70274582.7964868916,9197949,Google Sunnyvale Campus Tote,6,6,1,6,6,20201121,1605997855815940,United States,North Carolina,Apple,Safari
70274582.7964868916,9185158,Google Crewneck Sweatshirt Grey,44,44,1,44,44,20201121,1605997855815940,United States,North Carolina,Apple,Safari
70274582.7964868916,9199131,Super G Unisex Joggers,30,30,1,30,30,20201121,1605997855815940,United States,North Carolina,Apple,Safari
70274582.7964868916,9190330,Google Crew Socks,13,13,1,13,13,20201121,1605997855815940,United States,North Carolina,Apple,Safari
70274582.7964868916,9196754,Google Men's Puff Jacket Black,92,92,1,92,92,20201121,1605997855815940,United States,North Carolina,Apple,Safari
52083507.8774663935,9195292,Google Canteen Bottle Black,19,19,1,19,19,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9195032,Google Camp Mug Ivory,10,10,1,10,10,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9196785,Google Keychain,6,6,1,6,6,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9195555,Google Unisex Eco Tee Black,18,18,1,18,18,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9196869,Google Utensil Set,12,12,1,12,12,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9195959,Google Large Tote White,10,10,1,10,10,20201121,1605974315610455,United States,California,Google,Chrome
52083507.8774663935,9195292,Google Canteen Bottle Black,19,19,1,19,19,20201121,1605974315646382,United States,California,Google,Chrome
52083507.8774663935,9196785,Google Keychain,6,6,1,6,6,20201121,1605974315646382,United States,California,Google,Chrome
52083507.8774663935,9195032,Google Camp Mug Ivory,10,10,1,10,10,20201121,1605974315646382,United States,California,Google,Chrome
52083507.8774663935,9196869,Google Utensil Set,12,12,1,12,12,20201121,1605974315646382,United States,California,Google,Chrome
52083507.8774663935,9195555,Google Unisex Eco Tee Black,18,18,1,18,18,20201121,1605974315646382,United States,California,Google,Chrome
52083507.8774663935,9195959,Google Large Tote White,10,10,1,10,10,20201121,1605974315646382,United States,California,Google,Chrome
6488582.8788491425,9196862,Google Black Cork Journal,10,10,1,10,10,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184981,Google Small Standard Journal Navy,5,5,1,5,5,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9196902,#IamRemarkable Journal,6,6,1,6,6,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195709,Google Leather Strap Hat Blue,14,14,1,14,14,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184914,Google Crewneck Sweatshirt Navy,44,44,1,44,44,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9196907,#IamRemarkable Unisex T-Shirt,10,10,1,10,10,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195197,Google F/C Longsleeve Charcoal,24,24,1,24,24,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184979,Android Large Trace Journal Black,6,6,1,6,6,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195710,Google Leather Strap Hat Black,14,14,1,14,14,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9188325,Google Tonal Tee Spearmint,9,9,1,9,9,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195246,Google Infant Charcoal Onesie,20,20,1,20,20,20201121,1605946895498593,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195710,Google Leather Strap Hat Black,14,14,1,14,14,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195197,Google F/C Longsleeve Charcoal,24,24,1,24,24,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184981,Google Small Standard Journal Navy,5,5,1,5,5,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184914,Google Crewneck Sweatshirt Navy,44,44,1,44,44,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195709,Google Leather Strap Hat Blue,14,14,1,14,14,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9196907,#IamRemarkable Unisex T-Shirt,10,10,1,10,10,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9184979,Android Large Trace Journal Black,6,6,1,6,6,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9195246,Google Infant Charcoal Onesie,20,20,1,20,20,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9196862,Google Black Cork Journal,10,10,1,10,10,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9196902,#IamRemarkable Journal,6,6,1,6,6,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
6488582.8788491425,9188325,Google Tonal Tee Spearmint,9,9,1,9,9,20201121,1605946895467170,China,Guizhou,<Other>,<Other>
9134268.2677185739,9195296,Android Super Hero 3D Framed Art,16,16,1,16,16,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9198448,Daddy Works at Google Book,16,16,1,16,16,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9195230,Google Youth FC Longsleeve Charcoal,24,24,1,24,24,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9196737,Google Felt Refillable Journal,16,16,2,31,31,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9196869,Google Utensil Set,12,12,1,12,12,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9196703,Google Red YoYo,3,3,1,3,3,20201121,1605917364608929,United States,New Jersey,Apple,Safari
9134268.2677185739,9184988,Google Emoji Sticker Pack,4,4,1,4,4,20201121,1605917364608929,United States,New Jersey,Apple,Safari
